evalnum,startTime,endTime,cost,x,key,status,elapsed_time
0,1569136659,1569136672,5.316049,"['a', 'a', 'a']",000_00000.dat,0,13.397440671920776
1,1569136672,1569136684,5.499312,"['c', 'e', 'a']",000_00001.dat,0,25.091315746307373
2,1569136684,1569136695,5.665721,"['b', 'b', 'd']",000_00002.dat,0,36.747976779937744
3,1569136695,1569136707,5.318698,"['b', 'd', 'a']",000_00003.dat,0,48.18632936477661
4,1569136707,1569136718,5.313524,"['e', 'b', 'a']",000_00004.dat,0,59.59327149391174
5,1569136718,1569136730,5.405281,"['b', 'e', 'c']",000_00005.dat,0,71.91842484474182
6,1569136730,1569136744,5.329039,"['e', 'c', 'd']",000_00006.dat,0,85.29733109474182
7,1569136744,1569136755,5.202777,"['b', 'c', 'c']",000_00007.dat,0,96.41149020195007
