evalnum,startTime,endTime,cost,x,key,status,elapsed_time
0,1569013630,1569013642,2.716583,"['a', 'a']",000_00000.dat,0,11.660970449447632
1,1569013642,1569013651,2.884588,"['b', 'd']",000_00001.dat,0,20.525756120681763
2,1569013651,1569013660,2.855607,"['b', 'b']",000_00002.dat,0,29.816168785095215
3,1569013660,1569013669,2.654371,"['b', 'd']",000_00003.dat,0,38.45406723022461
4,1569013669,1569013678,2.794555,"['d', 'b']",000_00004.dat,0,47.226672410964966
5,1569013678,1569013688,2.819004,"['b', 'd']",000_00005.dat,0,57.52846837043762
6,1569013688,1569013697,2.728089,"['d', 'b']",000_00006.dat,0,66.58667278289795
