evalnum,startTime,endTime,cost,x,key,status,elapsed_time
0,1557257368,1557257374,5.553881,"['a', 'a', 'a']",000_00000.dat,0,6.025519847869873
1,1557257374,1557257380,5.578761,"['a', 'c', 'a']",000_00001.dat,0,12.053046464920044
2,1557257380,1557257386,5.586902,"['a', 'a', 'c']",000_00002.dat,0,18.074782848358154
3,1557257386,1557257392,5.563484,"['a', 'c', 'a']",000_00003.dat,0,24.084800720214844
4,1557257392,1557257398,5.558733,"['b', 'a', 'a']",000_00004.dat,0,30.109264135360718
5,1557257398,1557257404,5.761933,"['a', 'c', 'b']",000_00005.dat,0,36.32061219215393
6,1557257404,1557257411,5.708017,"['b', 'b', 'c']",000_00006.dat,0,42.476866245269775
7,1557257411,1557257417,5.705013,"['a', 'b', 'b']",000_00007.dat,0,48.62981843948364
8,1557257417,1557257423,5.686925,"['a', 'c', 'c']",000_00008.dat,0,54.773178815841675
9,1557257423,1557257429,5.611675,"['a', 'a', 'a']",000_00009.dat,0,61.178507804870605
10,1557257430,1557257436,5.560949,"['a', 'a', 'a']",000_00010.dat,0,68.26074242591858
11,1557257437,1557257443,5.553168,"['a', 'c', 'a']",000_00011.dat,0,75.36483097076416
12,1557257445,1557257451,5.558711,"['a', 'a', 'a']",000_00012.dat,0,82.48392152786255
