evalnum,startTime,endTime,cost,x,key,status,elapsed_time
0,1569136756,1569136757,0.003466,['a'],000_00000.dat,0,0.8818364143371582
1,1569136757,1569136758,0.00305,['c'],000_00001.dat,0,1.686997413635254
2,1569136758,1569136759,0.002989,['b'],000_00002.dat,0,2.502825975418091
3,1569136759,1569136760,0.002849,['b'],000_00003.dat,0,3.4385805130004883
4,1569136760,1569136760,0.003084,['e'],000_00004.dat,0,4.2012553215026855
5,1569136760,1569136761,0.003156,['b'],000_00005.dat,0,5.122331380844116
6,1569136761,1569136762,0.003312,['e'],000_00006.dat,0,5.994297027587891
7,1569136762,1569136763,0.003156,['b'],000_00007.dat,0,6.687183141708374
8,1569136763,1569136764,0.003229,['c'],000_00008.dat,0,7.4200379848480225
9,1569136764,1569136765,0.002827,['b'],000_00009.dat,0,8.589540481567383
10,1569136765,1569136766,0.002899,['e'],000_00010.dat,0,10.086815595626831
11,1569136767,1569136768,0.002894,['e'],000_00011.dat,0,11.585691213607788
12,1569136768,1569136769,0.003153,['b'],000_00012.dat,0,12.984102964401245
13,1569136770,1569136771,0.003011,['c'],000_00013.dat,0,14.414741277694702
14,1569136771,1569136772,0.003027,['c'],000_00014.dat,0,15.935442447662354
