evalnum,startTime,endTime,cost,x,key,status,elapsed_time
0,1557256951,1557256952,0.071139,"['a', 'a', 'a']",000_00000.dat,0,0.5134015083312988
1,1557256952,1557256952,0.063624,"['a', 'c', 'a']",000_00001.dat,0,1.0193626880645752
2,1557256952,1557256953,0.051022,"['a', 'a', 'c']",000_00002.dat,0,1.4925353527069092
3,1557256953,1557256953,0.063622,"['a', 'c', 'a']",000_00003.dat,0,1.983954906463623
4,1557256953,1557256954,0.173415,"['b', 'a', 'a']",000_00004.dat,0,2.597259521484375
5,1557256954,1557256954,0.048221,"['a', 'c', 'b']",000_00005.dat,0,3.073782205581665
6,1557256954,1557256955,0.055881,"['b', 'b', 'c']",000_00006.dat,0,3.5575764179229736
7,1557256955,1557256955,0.049866,"['a', 'b', 'b']",000_00007.dat,0,4.039313316345215
8,1557256955,1557256956,0.048783,"['a', 'c', 'c']",000_00008.dat,0,4.519496202468872
9,1557256956,1557256957,0.070389,"['a', 'a', 'a']",000_00009.dat,0,5.3733015060424805
10,1557256958,1557256958,0.109001,"['b', 'a', 'c']",000_00010.dat,0,6.995113372802734
11,1557256959,1557256960,0.056106,"['b', 'b', 'b']",000_00011.dat,0,8.62224555015564
12,1557256961,1557256962,0.052008,"['b', 'c', 'b']",000_00012.dat,0,10.255684852600098
13,1557256963,1557256963,0.048755,"['a', 'c', 'b']",000_00013.dat,0,11.8959801197052
14,1557256964,1557256965,0.04835,"['a', 'c', 'b']",000_00014.dat,0,13.559508562088013
15,1557256966,1557256967,0.048363,"['a', 'c', 'b']",000_00015.dat,0,15.24520206451416
16,1557256968,1557256968,0.051323,"['a', 'a', 'b']",000_00016.dat,0,16.929806232452393
17,1557256969,1557256970,0.048048,"['a', 'c', 'b']",000_00017.dat,0,18.63084101676941
18,1557256971,1557256972,0.048436,"['a', 'c', 'b']",000_00018.dat,0,20.362212419509888
19,1557256973,1557256973,0.10923,"['b', 'a', 'b']",000_00019.dat,0,22.141088247299194
20,1557256975,1557256975,0.05167,"['b', 'c', 'b']",000_00020.dat,0,23.876431465148926
21,1557256976,1557256977,0.051753,"['b', 'c', 'b']",000_00021.dat,0,25.653400659561157
22,1557256978,1557256979,0.076593,"['b', 'b', 'a']",000_00022.dat,0,27.45213270187378
23,1557256980,1557256981,0.056304,"['b', 'b', 'b']",000_00023.dat,0,29.25071692466736
24,1557256982,1557256982,0.048848,"['a', 'c', 'b']",000_00024.dat,0,31.052366495132446
25,1557256984,1557256984,0.051704,"['a', 'a', 'b']",000_00025.dat,0,32.866984367370605
26,1557256985,1557256986,0.048429,"['a', 'c', 'b']",000_00026.dat,0,34.67842936515808
27,1557256987,1557256988,0.048423,"['a', 'c', 'b']",000_00027.dat,0,36.50088119506836
28,1557256989,1557256990,0.05346,"['a', 'a', 'b']",000_00028.dat,0,38.316991567611694
29,1557256991,1557256991,0.108655,"['b', 'a', 'b']",000_00029.dat,0,40.21884346008301
30,1557256993,1557256993,0.051949,"['b', 'c', 'b']",000_00030.dat,0,42.059269189834595
31,1557256995,1557256995,0.048716,"['a', 'c', 'b']",000_00031.dat,0,43.91419172286987
32,1557256997,1557256997,0.051672,"['a', 'a', 'b']",000_00032.dat,0,45.76291465759277
33,1557256998,1557256999,0.051257,"['a', 'a', 'b']",000_00033.dat,0,47.61060309410095
34,1557257000,1557257001,0.048463,"['a', 'c', 'b']",000_00034.dat,0,49.53512740135193
35,1557257002,1557257003,0.048768,"['a', 'c', 'b']",000_00035.dat,0,51.41066908836365
36,1557257004,1557257005,0.070623,"['b', 'c', 'a']",000_00036.dat,0,53.28387689590454
37,1557257006,1557257006,0.051651,"['b', 'c', 'c']",000_00037.dat,0,55.16699528694153
38,1557257008,1557257008,0.071836,"['a', 'a', 'a']",000_00038.dat,0,57.06685185432434
39,1557257010,1557257010,0.048182,"['a', 'c', 'b']",000_00039.dat,0,58.95174431800842
40,1557257012,1557257012,0.069941,"['b', 'c', 'a']",000_00040.dat,0,60.886311292648315
