evalnum,startTime,endTime,cost,x,key,status,elapsed_time
0,1556659474,1556659476,0.412348,"['a', 'a', 'a']",000_00000.dat,0,2.2436892986297607
1,1556659476,1556659478,0.413348,"['a', 'c', 'a']",000_00001.dat,0,4.512052774429321
2,1556659478,1556659480,0.332929,"['a', 'a', 'c']",000_00002.dat,0,6.716374397277832
3,1556659480,1556659483,0.414396,"['a', 'c', 'a']",000_00003.dat,0,8.97895860671997
4,1556659483,1556659485,0.412384,"['b', 'a', 'a']",000_00004.dat,0,11.206591367721558
5,1556659485,1556659487,0.295301,"['a', 'c', 'b']",000_00005.dat,0,13.355748891830444
6,1556659487,1556659489,0.328694,"['b', 'b', 'c']",000_00006.dat,0,15.497871160507202
7,1556659489,1556659491,0.297724,"['a', 'b', 'b']",000_00007.dat,0,17.651062965393066
8,1556659491,1556659493,0.300813,"['a', 'c', 'c']",000_00008.dat,0,19.802800178527832
9,1556659494,1556659496,0.412744,"['a', 'a', 'a']",000_00009.dat,0,22.42098045349121
10,1556659497,1556659499,0.311927,"['b', 'c', 'b']",000_00010.dat,0,25.62839674949646
11,1556659500,1556659503,0.318156,"['a', 'a', 'b']",000_00011.dat,0,28.909695863723755
12,1556659504,1556659506,0.310206,"['b', 'c', 'b']",000_00012.dat,0,32.1830940246582
13,1556659507,1556659509,0.299524,"['a', 'c', 'c']",000_00013.dat,0,35.48658847808838
14,1556659510,1556659512,0.296851,"['a', 'c', 'b']",000_00014.dat,0,38.808180809020996
15,1556659514,1556659516,0.29604,"['a', 'c', 'b']",000_00015.dat,0,42.18954348564148
16,1556659517,1556659519,0.286261,"['a', 'c', 'c']",000_00016.dat,0,45.53149104118347
17,1556659520,1556659523,0.29611,"['a', 'c', 'b']",000_00017.dat,0,48.901493072509766
18,1556659524,1556659526,0.295364,"['a', 'c', 'b']",000_00018.dat,0,52.28848123550415
19,1556659527,1556659529,0.300694,"['a', 'c', 'c']",000_00019.dat,0,55.68433356285095
20,1556659531,1556659533,0.287743,"['a', 'c', 'c']",000_00020.dat,0,59.08180260658264
21,1556659534,1556659536,0.297425,"['a', 'c', 'c']",000_00021.dat,0,62.493372678756714
