evalnum,startTime,endTime,cost,x,key,status,elapsed_time
0,1557255965,1557255965,0.037526,"['a', 'a', 'a']",000_00000.dat,0,0.6088318824768066
1,1557255965,1557255966,0.037091,"['a', 'c', 'a']",000_00001.dat,0,1.2243092060089111
2,1557255966,1557255967,0.036326,"['a', 'a', 'c']",000_00002.dat,0,1.8292875289916992
3,1557255967,1557255967,0.037064,"['a', 'c', 'a']",000_00003.dat,0,2.440770387649536
4,1557255967,1557255968,0.037031,"['b', 'a', 'a']",000_00004.dat,0,3.053093433380127
5,1557255968,1557255969,0.035348,"['a', 'c', 'b']",000_00005.dat,0,3.67309308052063
6,1557255969,1557255969,0.035216,"['b', 'b', 'c']",000_00006.dat,0,4.285970449447632
7,1557255969,1557255970,0.035042,"['a', 'b', 'b']",000_00007.dat,0,4.900069236755371
8,1557255970,1557255970,0.035686,"['a', 'c', 'c']",000_00008.dat,0,5.509960889816284
9,1557255971,1557255971,0.037156,"['a', 'a', 'a']",000_00009.dat,0,6.4765448570251465
10,1557255972,1557255973,0.036976,"['a', 'a', 'b']",000_00010.dat,0,8.166861534118652
11,1557255974,1557255975,0.037165,"['a', 'a', 'b']",000_00011.dat,0,9.884347200393677
12,1557255976,1557255976,0.037072,"['a', 'b', 'a']",000_00012.dat,0,11.643324136734009
13,1557255978,1557255978,0.036019,"['a', 'b', 'c']",000_00013.dat,0,13.400652408599854
14,1557255979,1557255980,0.035391,"['b', 'b', 'c']",000_00014.dat,0,15.165554523468018
15,1557255981,1557255982,0.034683,"['a', 'b', 'c']",000_00015.dat,0,16.97651767730713
16,1557255983,1557255984,0.0355,"['b', 'b', 'b']",000_00016.dat,0,18.798166275024414
17,1557255985,1557255986,0.03545,"['b', 'b', 'c']",000_00017.dat,0,20.662585258483887
18,1557255987,1557255987,0.035359,"['b', 'b', 'c']",000_00018.dat,0,22.514646768569946
19,1557255989,1557255989,0.036917,"['a', 'b', 'a']",000_00019.dat,0,24.3776912689209
20,1557255990,1557255991,0.035442,"['a', 'c', 'b']",000_00020.dat,0,26.24361801147461
21,1557255992,1557255993,0.036826,"['b', 'a', 'c']",000_00021.dat,0,28.12790083885193
22,1557255994,1557255995,0.035542,"['a', 'c', 'b']",000_00022.dat,0,30.018434286117554
