evalnum,startTime,endTime,cost,x,key,status,elapsed_time
0,1557258901,1557259767,864.377971,"['a', 'a', 'a']",000_00000.dat,0,865.3550322055817
1,1557259767,1557260219,451.965419,"['a', 'c', 'a']",000_00001.dat,0,1317.8788759708405
2,1557260219,1557260679,459.488419,"['a', 'a', 'c']",000_00002.dat,0,1777.9259295463562
3,1557260679,1557261136,456.434559,"['a', 'c', 'a']",000_00003.dat,0,2234.947242498398
4,1557261136,1557261593,456.248951,"['b', 'a', 'a']",000_00004.dat,0,2691.7433590888977
5,1557261593,1557262058,463.98988,"['a', 'c', 'b']",000_00005.dat,0,3156.3196585178375
6,1557262058,1557262520,461.300638,"['b', 'b', 'c']",000_00006.dat,0,3618.1691930294037
7,1557262520,1557262980,460.169594,"['a', 'b', 'b']",000_00007.dat,0,4078.902621269226
8,1557262980,1557263445,463.87537,"['a', 'c', 'c']",000_00008.dat,0,4543.336542606354
9,1557263445,1557263896,450.882741,"['a', 'a', 'a']",000_00009.dat,0,4995.134260892868
10,1557263898,1557264360,462.133379,"['b', 'c', 'b']",000_00010.dat,0,5458.890992641449
11,1557264361,1557264825,463.456059,"['a', 'c', 'c']",000_00011.dat,0,5924.010824918747
12,1557264827,1557265289,461.938765,"['b', 'c', 'b']",000_00012.dat,0,6387.66429567337
13,1557265290,1557265754,462.895153,"['b', 'c', 'c']",000_00013.dat,0,6852.265958786011
14,1557265755,1557266219,463.520971,"['b', 'c', 'b']",000_00014.dat,0,7317.516359090805
15,1557266220,1557266683,462.827301,"['b', 'c', 'b']",000_00015.dat,0,7782.139231443405
16,1557266685,1557267148,462.442797,"['b', 'c', 'b']",000_00016.dat,0,8246.34828042984
17,1557267149,1557267612,462.319998,"['b', 'c', 'c']",000_00017.dat,0,8710.439942121506
18,1557267613,1557268075,461.452161,"['b', 'c', 'c']",000_00018.dat,0,9173.684884786606
19,1557268076,1557268539,462.477971,"['b', 'c', 'c']",000_00019.dat,0,9637.963865995407
20,1557268541,1557269003,462.133152,"['b', 'c', 'c']",000_00020.dat,0,10101.951871871948
