evalnum,startTime,endTime,cost,x,key,status,elapsed_time
0,1569013277,1569013291,2.236556,"['a', 'a']",000_00000.dat,0,14.217175006866455
1,1569013291,1569013299,2.058723,"['b', 'd']",000_00001.dat,0,22.46526527404785
2,1569013299,1569013307,2.312801,"['b', 'b']",000_00002.dat,0,30.80109214782715
3,1569013307,1569013316,2.542968,"['b', 'd']",000_00003.dat,0,39.66949534416199
4,1569013316,1569013324,2.018165,"['d', 'b']",000_00004.dat,0,47.77529168128967
5,1569013324,1569013333,2.419323,"['b', 'd']",000_00005.dat,0,56.42920970916748
6,1569013333,1569013342,2.471401,"['d', 'b']",000_00006.dat,0,65.12018537521362
