evalnum,startTime,endTime,cost,x,key,status,elapsed_time
0,1556560931,1556560934,0.035041,"['a', 'a', 'a']",000_00000.dat,0,2.3163397312164307
1,1556560934,1556560936,0.035064,"['a', 'c', 'a']",000_00001.dat,0,4.630511522293091
2,1556560936,1556560938,0.031615,"['a', 'a', 'c']",000_00002.dat,0,6.953520059585571
3,1556560938,1556560940,0.034982,"['a', 'c', 'a']",000_00003.dat,0,9.284775018692017
4,1556560941,1556560943,0.034979,"['b', 'a', 'a']",000_00004.dat,0,11.514429092407227
5,1556560943,1556560945,0.023248,"['a', 'c', 'b']",000_00005.dat,0,13.822834968566895
6,1556560945,1556560947,0.032254,"['b', 'b', 'c']",000_00006.dat,0,16.05951189994812
7,1556560947,1556560950,0.023173,"['a', 'b', 'b']",000_00007.dat,0,18.364581823349
8,1556560950,1556560952,0.031392,"['a', 'c', 'c']",000_00008.dat,0,20.676454305648804
9,1556560952,1556560955,0.035013,"['a', 'a', 'a']",000_00009.dat,0,23.34917449951172
10,1556560956,1556560958,0.023187,"['b', 'c', 'b']",000_00010.dat,0,26.647302627563477
11,1556560959,1556560961,0.02342,"['a', 'a', 'b']",000_00011.dat,0,30.0564386844635
