evalnum,startTime,endTime,cost,x,key,status,elapsed_time
0,1556677413,1556677871,454.855279,"['a', 'a', 'a']",000_00000.dat,0,457.46147871017456
1,1556677871,1556678329,455.405154,"['a', 'c', 'a']",000_00001.dat,0,915.3781847953796
2,1556678329,1556678796,464.344339,"['a', 'a', 'c']",000_00002.dat,0,1382.313861131668
3,1556678796,1556679251,452.763446,"['a', 'c', 'a']",000_00003.dat,0,1837.5921516418457
4,1556679251,1556679706,452.082187,"['b', 'a', 'a']",000_00004.dat,0,2292.1681888103485
5,1556679706,1556680178,469.97398,"['a', 'c', 'b']",000_00005.dat,0,2764.6596417427063
6,1556680178,1556680645,464.154813,"['b', 'b', 'c']",000_00006.dat,0,3231.3018748760223
7,1556680645,1556681113,466.224348,"['a', 'b', 'b']",000_00007.dat,0,3700.040233850479
8,1556681113,1556681585,468.480624,"['a', 'c', 'c']",000_00008.dat,0,4171.156986236572
9,1556681585,1556682039,451.641162,"['a', 'a', 'a']",000_00009.dat,0,4625.664761543274
10,1556682040,1556682497,454.668147,"['a', 'a', 'a']",000_00010.dat,0,5083.914310216904
11,1556682498,1556682956,455.029833,"['a', 'a', 'a']",000_00011.dat,0,5542.563372373581
12,1556682957,1556683414,454.011177,"['a', 'c', 'a']",000_00012.dat,0,6000.219879865646
13,1556683415,1556683870,453.014983,"['b', 'a', 'a']",000_00013.dat,0,6456.757791996002
14,1556683871,1556684326,452.172576,"['a', 'a', 'a']",000_00014.dat,0,6912.556654214859
15,1556684327,1556684782,452.375763,"['a', 'a', 'a']",000_00015.dat,0,7368.579701900482
16,1556684783,1556685238,452.422444,"['a', 'a', 'a']",000_00016.dat,0,7824.651490688324
17,1556685239,1556685694,451.875273,"['a', 'a', 'a']",000_00017.dat,0,8280.16092801094
18,1556685695,1556686149,451.455349,"['a', 'a', 'a']",000_00018.dat,0,8735.258368253708
19,1556686150,1556686605,452.787946,"['b', 'a', 'a']",000_00019.dat,0,9191.605033874512
20,1556686606,1556687061,452.648003,"['b', 'a', 'a']",000_00020.dat,0,9647.812232494354
21,1556687062,1556687517,452.350773,"['b', 'a', 'a']",000_00021.dat,0,10103.786242485046
