evalnum,startTime,endTime,cost,x,key,status,elapsed_time
0,1556659743,1556659751,5.531422,"['a', 'a', 'a']",000_00000.dat,0,7.90170431137085
1,1556659751,1556659759,5.546063,"['a', 'c', 'a']",000_00001.dat,0,15.817606687545776
2,1556659759,1556659766,5.481574,"['a', 'a', 'c']",000_00002.dat,0,23.664740085601807
3,1556659766,1556659774,5.537404,"['a', 'c', 'a']",000_00003.dat,0,31.58251643180847
4,1556659774,1556659782,5.519012,"['b', 'a', 'a']",000_00004.dat,0,39.36518740653992
5,1556659782,1556659790,5.722218,"['a', 'c', 'b']",000_00005.dat,0,47.46250677108765
6,1556659790,1556659798,5.68265,"['b', 'b', 'c']",000_00006.dat,0,55.426294565200806
7,1556659798,1556659806,5.697011,"['a', 'b', 'b']",000_00007.dat,0,63.53296136856079
