evalnum,startTime,endTime,cost,x,key,status,elapsed_time
0,1557256290,1557256315,24.101903,"['a', 'a', 'a']",000_00000.dat,0,24.5683650970459
1,1557256315,1557256339,23.908172,"['a', 'c', 'a']",000_00001.dat,0,48.948782444000244
2,1557256339,1557256363,23.573026,"['a', 'a', 'c']",000_00002.dat,0,72.98432874679565
3,1557256363,1557256388,24.306259,"['a', 'c', 'a']",000_00003.dat,0,97.76696276664734
4,1557256388,1557256412,24.211975,"['b', 'a', 'a']",000_00004.dat,0,122.44404911994934
5,1557256412,1557256436,23.256751,"['a', 'c', 'b']",000_00005.dat,0,146.1711208820343
6,1557256436,1557256460,23.439977,"['b', 'b', 'c']",000_00006.dat,0,170.0736598968506
7,1557256460,1557256484,23.17588,"['a', 'b', 'b']",000_00007.dat,0,193.72223377227783
8,1557256484,1557256508,23.397929,"['a', 'c', 'c']",000_00008.dat,0,217.60904455184937
9,1557256508,1557256533,24.23104,"['a', 'a', 'a']",000_00009.dat,0,242.66189193725586
10,1557256534,1557256557,23.183514,"['b', 'b', 'b']",000_00010.dat,0,267.3864688873291
11,1557256559,1557256582,23.121478,"['a', 'a', 'b']",000_00011.dat,0,292.07653307914734
12,1557256583,1557256607,23.14068,"['b', 'b', 'b']",000_00012.dat,0,316.90975427627563
13,1557256608,1557256632,23.263505,"['b', 'a', 'b']",000_00013.dat,0,341.79279136657715
14,1557256633,1557256657,23.33074,"['a', 'a', 'b']",000_00014.dat,0,366.7615921497345
15,1557256658,1557256682,23.185346,"['b', 'b', 'b']",000_00015.dat,0,391.65292024612427
16,1557256683,1557256707,23.487415,"['b', 'b', 'c']",000_00016.dat,0,416.84550523757935
17,1557256708,1557256732,23.37716,"['b', 'b', 'b']",000_00017.dat,0,441.9260594844818
18,1557256733,1557256757,23.30728,"['a', 'a', 'b']",000_00018.dat,0,466.96334314346313
19,1557256758,1557256782,23.275886,"['a', 'b', 'b']",000_00019.dat,0,491.98456835746765
20,1557256783,1557256807,23.347975,"['a', 'a', 'c']",000_00020.dat,0,517.078685760498
